,race,race_id,race_0-1,race_recon,race_recon_id
0,Black,3,True,Black,1
1,Black,3,True,Black,1
2,Black,3,True,Black,1
3,Black,3,True,Black,1
4,Black,3,True,Black,1
5,Black,3,True,Black,1
6,Black,3,True,Black,1
7,Black,3,True,Black,1
8,Black,3,True,Black,1
9,Black,3,True,Black,1
10,Black,3,True,Black,1
11,Black,3,True,Black,1
12,Black,3,True,Black,1
13,Black,3,True,Black,1
14,Black,3,True,Black,1
15,Black,3,True,Black,1
16,Black,3,True,Black,1
17,Black,3,True,Black,1
18,Black,3,True,Black,1
19,Black,3,True,Black,1
20,Black,3,True,Black,1
21,Black,3,True,Black,1
22,Black,3,True,Black,1
23,Black,3,True,Black,1
24,Black,3,True,Black,1
25,Black,3,True,Black,1
26,Black,3,True,Black,1
27,Black,3,True,Black,1
28,Black,3,True,Black,1
29,Black,3,True,Black,1
30,Black,3,True,Black,1
31,Black,3,True,Black,1
32,Black,3,True,Black,1
33,Black,3,True,Black,1
34,Black,3,True,Black,1
35,Black,3,True,Black,1
36,Black,3,True,Black,1
37,Black,3,True,Black,1
38,Black,3,True,Black,1
39,Black,3,True,Black,1
40,Black,3,True,Black,1
41,Black,3,True,Black,1
42,Black,3,True,Black,1
43,Black,3,True,Black,1
44,Black,3,True,Black,1
45,Black,3,True,Black,1
46,Black,3,True,Black,1
47,Black,3,True,Black,1
48,Black,3,True,Black,1
49,Black,3,True,Black,1
50,Black,3,True,Black,1
51,Black,3,True,Black,1
52,Black,3,True,Black,1
53,Black,3,True,Black,1
54,Black,3,True,Black,1
55,Black,3,True,Black,1
56,Black,3,True,Black,1
57,Black,3,True,Black,1
58,Black,3,True,Black,1
59,Black,3,True,Black,1
60,Black,3,True,Black,1
61,Black,3,True,Black,1
62,Black,3,True,Black,1
63,Black,3,True,Black,1
64,Black,3,True,Black,1
65,Black,3,True,Black,1
66,Black,3,True,Black,1
67,Black,3,True,Black,1
68,Black,3,True,Black,1
69,Black,3,True,Black,1
70,Black,3,True,Black,1
